所属模块,用例标题,步骤,预期,关键词,用例类型,优先级,用例状态,适用阶段,前置条件,,类型可选值列表,阶段可选值列表,状态可选值列表
/(#登录),点击登录按钮,点击tpshop商城首页顶端的登录链接,成功跳转至tpshop商城登录页面,跳转至tpshop商城登录页面,功能测试,1,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,"
功能测试
性能测试
配置相关
安装部署
安全相关
接口测试
其他","
单元测试阶段
功能测试阶段
集成测试阶段
系统测试阶段
冒烟测试阶段
版本验证阶段","
正常
被阻塞
研究中"
/(#登录),登录成功（手机号）,"输入有效的用户名：15523491715
有效的密码：123..123
有效的验证码：8888
点击登录按钮
",成功跳转至tpshop我的商城，显示用户名,登录成功,功能测试,1,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
/(#登录),登录成功（邮箱）,"输入有效的用户名：923123123@qq.com
有效的密码：123..345有效的验证码：8889
点击登录按钮
",成功跳转至tpshop我的商城，显示用户名,登录成功,功能测试,1,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
/(#登录),登录失败（用户名格式错误）,"输入用户名：（非有效：用户名格式错误）输入有效的密码：123..123
有效的验证码：8890
点击登录按钮
",登录失败提示：用户名格式错误,登录失败,功能测试,1,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
/(#登录),登录失败（用户名未注册）,"输入用户名：（非有效：用户名未注册）
输入有效的密码：123..123
有效的验证码：8891
点击登录按钮
",登录失败提示：用户名格未注册,登录失败,功能测试,1,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
/(#登录),登录失败（用户名为空）,"输入用户名：（非有效：用户名为空）输入有效的密码：123..123有效的验证码：8892点击登录按钮
",登录失败提示：用户名为空,登录失败,功能测试,1,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
/(#登录),登录失败（手机号密码错误）,"输入有效的用户名：15523491715密码：123123有效的验证码：8888点击登录按钮
",登录失败提示：密码错误,登录失败,功能测试,1,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
/(#登录),登录失败（手机号密码为空）,"输入有效的用户名：15523491715密码为空，有效的验证码：8889点击登录按钮
",登录失败提示：密码为空,登录失败,功能测试,1,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
/(#登录),登录失败（邮箱密码错误）,"输入有效的用户名：923123123@qq.com密码：12345有效的验证码：8889点击登录按钮
",登录失败提示：密码错误,登录失败,功能测试,1,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
/(#登录),登录失败（邮箱密码为空）,"输入有效的用户名：923123123@qq.com密码为空有效的验证码：8890点击登录按钮
",登录失败提示：密码错误,登录失败,功能测试,1,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
/(#登录),登录失败（注册成功的手机号验证码与账号不对应）,"输入有效的用户名：15523491715有效的密码：123..123验证码：1111点击登录按钮
",登录失败提示：验证码输入错误,登录失败,功能测试,1,正常,功能测试阶段,在IE8浏览器成功打开tpshop商城,,,,
/(#登录),登录失败（注册成功的邮箱验证码重复使用）,"输入有效的用户名：923123123@qq.com输入有效的密码：123..345验证码：8889点击登录按钮
",登录失败提示：验证码已失效,登录失败,功能测试,1,正常,功能测试阶段,在IE9浏览器成功打开tpshop商城,,,,
/(#登录),登录失败（注册成功的邮箱验证码为空）,"输入有效的用户名：923123123@qq.com输入有效的密码：123..345验证码为空点击登录按钮
",登录失败提示：验证码为空,登录失败,功能测试,1,正常,功能测试阶段,在IE10浏览器成功打开tpshop商城,,,,
